SHOOTER_ID,SHOOTER,GAME_ID,DATE,MATCHUP,LOCATION,W,FINAL_MARGIN,PERIOD,GAME_CLOCK,GAME_CLOCK_PERIOD,SHOT_CLOCK,SHOT_NUMBER,PTS_TYPE,PTS,FGM,SHOT_DIST,TOUCH_TIME,DRIBBLES,CLOSE_DEF_DIST,CLOSEST_DEFENDER_PLAYER_ID,CLOSEST_DEFENDER,SHOT_RESULT
203500,"Adams, Steven",0041300316,"MAY 31, 2014",OKC vs. SAS,H,L,-5,1,202,3,7.6,1,2,0,0,6.7,0.7,0,2.1,1495,"Duncan, Tim",missed
203500,"Adams, Steven",0041300315,"MAY 29, 2014",OKC @ SAS,A,L,-28,1,60,4,9.3,1,2,2,1,3.2,0.5,0,3.2,201168,"Splitter, Tiago",made
203500,"Adams, Steven",0041300315,"MAY 29, 2014",OKC @ SAS,A,L,-28,1,2,4,,2,2,0,0,19.0,0.6,0,4.3,201168,"Splitter, Tiago",missed
203500,"Adams, Steven",0041300315,"MAY 29, 2014",OKC @ SAS,A,L,-28,3,320,3,24.0,3,2,2,1,2.2,0.5,1,0.6,2564,"Diaw, Boris",made
203500,"Adams, Steven",0041300315,"MAY 29, 2014",OKC @ SAS,A,L,-28,3,26,4,22.3,4,2,2,1,3.8,2.6,1,3.4,201158,"Belinelli, Marco",made
203500,"Adams, Steven",0041300314,"MAY 27, 2014",OKC vs. SAS,H,W,13,1,77,4,16.9,1,2,2,1,5.4,0.7,0,3.7,2225,"Parker, Tony",made
203500,"Adams, Steven",0041300314,"MAY 27, 2014",OKC vs. SAS,H,W,13,2,251,3,6.0,2,2,2,1,3.9,0.8,0,1.9,1495,"Duncan, Tim",made
203500,"Adams, Steven",0041300314,"MAY 27, 2014",OKC vs. SAS,H,W,13,4,264,3,8.0,3,2,0,0,10.4,0.8,0,3.9,201965,"Ayres, Jeff",missed
203500,"Adams, Steven",0041300313,"MAY 25, 2014",OKC vs. SAS,H,W,9,1,130,4,11.9,1,2,2,1,6.1,1.0,0,2.1,203382,"Baynes, Aron",made
203500,"Adams, Steven",0041300313,"MAY 25, 2014",OKC vs. SAS,H,W,9,3,38,4,21.2,2,2,0,0,4.6,1.1,0,2.0,201168,"Splitter, Tiago",missed
203500,"Adams, Steven",0041300313,"MAY 25, 2014",OKC vs. SAS,H,W,9,4,483,2,6.6,3,2,2,1,1.8,1.0,0,1.4,1495,"Duncan, Tim",made
